Ward,Old Ward Code,Local Authority,ward_name,Geography,2010-14;Male;Life expectancy at birth,2010-14;Female;Life expectancy at birth,Median monthly houshold income,homes with good access to all four types of public open space% ,Employment rate 2011 (16-64),well-being scores,percent_green
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,0.3,60.3,7.789196612,27.83831348
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,0.3,60.3,7.789196612,25.96143903
E05000027,00ABFY,Barking and Dagenham,Alibon,Ward,77,81.4,32470,0,63.1,7.553030303,45.93713283
E05000028,00ABFZ,Barking and Dagenham,Becontree,Ward,79,79.2,33000,0,61.2,7.551140718,36.07570488
E05000029,00ABGA,Barking and Dagenham,Chadwell Heath,Ward,79.1,82.7,33920,0,63.6,7.551140718,62.01249888
E05000030,00ABGB,Barking and Dagenham,Eastbrook,Ward,78.3,81.3,37400,0,68.2,7.553030303,55.77085155
E05000031,00ABGC,Barking and Dagenham,Eastbury,Ward,78.5,85.6,32870,0,61.5,7.789196612,40.78223732
E05000032,00ABGD,Barking and Dagenham,Gascoigne,Ward,76.9,80.3,29480,0,56.4,7.789196612,25.34334729
E05000033,00ABGE,Barking and Dagenham,Goresbrook,Ward,78.5,83.1,33250,0,63.6,7.789196612,42.73871873
E05000034,00ABGF,Barking and Dagenham,Heath,Ward,77.1,80.6,31340,0,61.4,7.551140718,49.48908764
E05000035,00ABGG,Barking and Dagenham,Longbridge,Ward,78.4,86.3,40570,5.4,65.2,7.789196612,45.74628283
E05000036,00ABGH,Barking and Dagenham,Mayesbrook,Ward,77.4,84,31530,0,61.9,7.553030303,54.67665528
E05000037,00ABGJ,Barking and Dagenham,Parsloes,Ward,76.3,83.2,31860,0,61.5,7.553030303,45.74184823
E05000038,00ABGK,Barking and Dagenham,River,Ward,75.3,78.8,33490,0,64.2,7.553030303,18.85289455
E05000039,00ABGL,Barking and Dagenham,Thames,Ward,76.2,83.9,32580,0,60.5,7.789196612,22.36543627
E05000040,00ABGM,Barking and Dagenham,Valence,Ward,78,81.8,33200,0,63.1,7.551140718,38.5504101
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,0,61.7,7.553030303,54.27852519
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,0,61.7,7.553030303,76.35589392
E05000042,00ABGP,Barking and Dagenham,Whalebone,Ward,79.5,85.8,37180,0,67.5,7.551140718,32.23883249
E05000043,00ACFX,Barnet,Brunswick Park,Ward,83.1,84.7,39800,0.8,71.4,7.3571298,46.7592725
E05000044,00ACFY,Barnet,Burnt Oak,Ward,77.3,80.8,29400,0,63.7,7.343684483,43.1515361
E05000045,00ACFZ,Barnet,Childs Hill,Ward,80.1,83.5,38960,0,67.9,7.385812172,44.21619637
E05000046,00ACGA,Barnet,Colindale,Ward,83.7,86.2,30170,0,61.9,7.343684483,32.0354058
E05000047,00ACGB,Barnet,Coppetts,Ward,80,82.1,38090,0,71.5,7.3571298,47.05911903
E05000048,00ACGC,Barnet,East Barnet,Ward,81.6,85.4,39870,0,71.5,7.393772861,51.89692631
E05000049,00ACGD,Barnet,East Finchley,Ward,81.9,85.4,41160,2,74.9,7.3571298,55.79324326
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,0,69,7.343684483,63.92986738
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,0,69,7.343684483,34.87869705
E05000051,00ACGF,Barnet,Finchley Church End,Ward,85.4,88.1,45030,0,72.6,7.3571298,45.28364464
E05000052,00ACGG,Barnet,Garden Suburb,Ward,85.5,88.8,53090,0.1,73.1,7.385812172,63.76092178
E05000053,00ACGH,Barnet,Golders Green,Ward,80.9,82.7,40800,0,66.7,7.385812172,37.56418879
E05000054,00ACGJ,Barnet,Hale,Ward,81.8,85.8,38590,0,70.7,7.343684483,65.82172264
E05000055,00ACGK,Barnet,Hendon,Ward,80.3,83.8,38530,0,66.7,7.385812172,41.59834153
E05000056,00ACGL,Barnet,High Barnet,Ward,81.8,84.4,43940,0,74.5,7.393772861,75.8351836
E05000057,00ACGM,Barnet,Mill Hill,Ward,83,86.4,41920,0,70.5,7.343684483,68.41922059
E05000058,00ACGN,Barnet,Oakleigh,Ward,81.5,85,41670,0,73.4,7.393772861,49.28447733
E05000059,00ACGP,Barnet,Totteridge,Ward,83.8,87,46150,0,71.6,7.393772861,76.31914389
E05000060,00ACGQ,Barnet,Underhill,Ward,79,83.4,37040,0,68.3,7.393772861,64.94410747
E05000061,00ACGR,Barnet,West Finchley,Ward,82.2,83.9,42050,0,74.2,7.3571298,39.47284034
