Ward,Old Ward Code,Local Authority,ward_name,Geography,2010-14;Male;Life expectancy at birth,2010-14;Female;Life expectancy at birth,Median monthly houshold income,Employment rate 2011 (16-64),well-being scores,percent_green,access_to_open_space
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,60.3,7.789196612,27.83831348,70.7
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,60.3,7.789196612,27.83831348,75.56
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,60.3,7.789196612,25.96143903,70.7
E05000026,00ABFX,Barking and Dagenham,Abbey,Ward,80,83.6,33920,60.3,7.789196612,25.96143903,75.56
E05000027,00ABFY,Barking and Dagenham,Alibon,Ward,77,81.4,32470,63.1,7.553030303,45.93713283,8.01
E05000028,00ABFZ,Barking and Dagenham,Becontree,Ward,79,79.2,33000,61.2,7.551140718,36.07570488,39.17
E05000029,00ABGA,Barking and Dagenham,Chadwell Heath,Ward,79.1,82.7,33920,63.6,7.551140718,62.01249888,63.11
E05000030,00ABGB,Barking and Dagenham,Eastbrook,Ward,78.3,81.3,37400,68.2,7.553030303,55.77085155,56.68
E05000031,00ABGC,Barking and Dagenham,Eastbury,Ward,78.5,85.6,32870,61.5,7.789196612,40.78223732,77.43
E05000032,00ABGD,Barking and Dagenham,Gascoigne,Ward,76.9,80.3,29480,56.4,7.789196612,25.34334729,87.33
E05000033,00ABGE,Barking and Dagenham,Goresbrook,Ward,78.5,83.1,33250,63.6,7.789196612,42.73871873,59.03
E05000034,00ABGF,Barking and Dagenham,Heath,Ward,77.1,80.6,31340,61.4,7.551140718,49.48908764,59.26
E05000035,00ABGG,Barking and Dagenham,Longbridge,Ward,78.4,86.3,40570,65.2,7.789196612,45.74628283,62.74
E05000036,00ABGH,Barking and Dagenham,Mayesbrook,Ward,77.4,84,31530,61.9,7.553030303,54.67665528,41.93
E05000037,00ABGJ,Barking and Dagenham,Parsloes,Ward,76.3,83.2,31860,61.5,7.553030303,45.74184823,55.53
E05000038,00ABGK,Barking and Dagenham,River,Ward,75.3,78.8,33490,64.2,7.553030303,18.85289455,28.9
E05000039,00ABGL,Barking and Dagenham,Thames,Ward,76.2,83.9,32580,60.5,7.789196612,22.36543627,92.47
E05000040,00ABGM,Barking and Dagenham,Valence,Ward,78,81.8,33200,63.1,7.551140718,38.5504101,86.38
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,61.7,7.553030303,54.27852519,25.38
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,61.7,7.553030303,54.27852519,49.58
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,61.7,7.553030303,54.27852519,39.92
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,61.7,7.553030303,76.35589392,25.38
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,61.7,7.553030303,76.35589392,49.58
E05000041,00ABGN,Barking and Dagenham,Village,Ward,75.3,81.7,31960,61.7,7.553030303,76.35589392,39.92
E05000042,00ABGP,Barking and Dagenham,Whalebone,Ward,79.5,85.8,37180,67.5,7.551140718,32.23883249,29.66
E05000043,00ACFX,Barnet,Brunswick Park,Ward,83.1,84.7,39800,71.4,7.3571298,46.7592725,26.69
E05000043,00ACFX,Barnet,Brunswick Park,Ward,83.1,84.7,39800,71.4,7.3571298,46.7592725,73.93
E05000044,00ACFY,Barnet,Burnt Oak,Ward,77.3,80.8,29400,63.7,7.343684483,43.1515361,25.78
E05000045,00ACFZ,Barnet,Childs Hill,Ward,80.1,83.5,38960,67.9,7.385812172,44.21619637,0.86
E05000046,00ACGA,Barnet,Colindale,Ward,83.7,86.2,30170,61.9,7.343684483,32.0354058,32.9
E05000047,00ACGB,Barnet,Coppetts,Ward,80,82.1,38090,71.5,7.3571298,47.05911903,25.98
E05000048,00ACGC,Barnet,East Barnet,Ward,81.6,85.4,39870,71.5,7.393772861,51.89692631,46.1
E05000049,00ACGD,Barnet,East Finchley,Ward,81.9,85.4,41160,74.9,7.3571298,55.79324326,60.79
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,69,7.343684483,63.92986738,32.12
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,69,7.343684483,63.92986738,83.9
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,69,7.343684483,34.87869705,32.12
E05000050,00ACGE,Barnet,Edgware,Ward,84,87.5,38410,69,7.343684483,34.87869705,83.9
E05000051,00ACGF,Barnet,Finchley Church End,Ward,85.4,88.1,45030,72.6,7.3571298,45.28364464,49.36
E05000052,00ACGG,Barnet,Garden Suburb,Ward,85.5,88.8,53090,73.1,7.385812172,63.76092178,23.2
E05000053,00ACGH,Barnet,Golders Green,Ward,80.9,82.7,40800,66.7,7.385812172,37.56418879,22.79
E05000054,00ACGJ,Barnet,Hale,Ward,81.8,85.8,38590,70.7,7.343684483,65.82172264,16.93
E05000055,00ACGK,Barnet,Hendon,Ward,80.3,83.8,38530,66.7,7.385812172,41.59834153,44.51
